Year,Team,Abbreviation,Avg,Ret,Yds,KRet_TD,20_yd_returns,40_yd_returns,Long,Fair Catch
2006,Bengals,CIN,20.5,59,1209,0,31,0,38,1
2006,Bills,BUF,23.9,63,1503,0,40,6,88,0
2006,Broncos,DEN,22,54,1187,0,35,3,64,0
2006,Browns,CLE,23,71,1635,1,40,7,92,0
2006,Buccaneers,TB,21.4,61,1307,0,36,1,44,0
2006,Cardinals,ARI,22,73,1610,1,39,3,99,0
2006,Chargers,LAC,24.6,55,1350,0,39,8,91,1
2006,Chiefs,KC,21.9,64,1404,0,40,4,60,0
2006,Colts,IND,23.6,58,1368,0,36,5,70,0
2006,Cowboys,DAL,23.3,64,1493,0,45,1,41,0
2006,Dolphins,MIA,21.2,52,1102,0,29,2,46,2
2006,Eagles,PHI,20.8,58,1204,0,26,2,64,0
2006,Falcons,ATL,22.7,68,1542,0,47,3,51,0
2006,Giants,NYG,20.1,70,1407,0,43,1,51,0
2006,Jaguars,JAX,23.2,49,1136,1,29,5,93,0
2006,Jets,NYJ,24.1,60,1445,2,36,8,103,0
2006,Lions,DET,22.3,74,1648,0,45,4,65,0
2006,Packers,GB,19.7,70,1379,0,36,0,35,0
2006,Panthers,CAR,19.4,62,1200,0,31,0,39,1
2006,Patriots,NE,26.8,58,1553,1,41,5,93,0
2006,Raiders,LV,24.8,73,1811,0,56,3,50,0
2006,Rams,LAR,21.3,65,1383,0,41,2,40,0
2006,Ravens,BAL,23.2,45,1046,0,30,2,72,0
2006,Commanders,WAS,22.3,73,1631,1,48,2,100,1
2006,Saints,NO,23,60,1377,0,34,4,51,0
2006,Seahawks,SEA,22.4,69,1548,0,45,3,50,0
2006,Steelers,PIT,22.1,55,1214,0,36,3,76,0
2006,Texans,HOU,22.7,71,1609,0,43,3,87,0
2006,Titans,TEN,23.2,79,1835,0,51,4,70,0
2006,Vikings,MIN,22.6,66,1492,0,42,3,65,1
2007,Bears,CHI,18.4,67,1234,2,27,2,97,0
2007,Bengals,CIN,23.1,73,1684,1,45,3,100,2
2007,Bills,BUF,20.7,70,1448,1,33,4,103,0
2007,Broncos,DEN,22.3,58,1293,0,41,0,35,0
2007,Browns,CLE,27,72,1943,2,50,7,100,0
2007,Buccaneers,TB,23.3,48,1119,1,32,2,90,0
2007,Cardinals,ARI,22.7,74,1682,0,45,4,59,0
2007,Chargers,LAC,25.5,48,1224,1,34,5,89,1
2007,Chiefs,KC,19.2,67,1286,0,34,0,39,0
2007,Colts,IND,21.8,53,1157,0,33,2,47,0
2007,Cowboys,DAL,22.3,61,1358,0,34,3,72,0
2007,Dolphins,MIA,19.9,78,1552,0,40,2,52,2
2007,Eagles,PHI,21.7,71,1539,0,46,0,35,0
2007,Falcons,ATL,24.7,72,1781,0,52,5,76,0
2007,Giants,NYG,23.9,66,1579,1,43,2,74,0
2007,Jaguars,JAX,22.6,49,1110,1,25,4,100,0
2007,Jets,NYJ,22.9,74,1695,3,45,5,98,0
2007,Lions,DET,22.6,72,1628,1,41,3,74,0
2007,49ers,SF,23.3,73,1702,0,47,4,55,0
2007,Packers,GB,21.8,62,1349,0,35,5,67,0
2007,Panthers,CAR,19.1,60,1146,0,25,2,60,1
2007,Patriots,NE,25.2,55,1384,2,35,4,108,2
2007,Raiders,LV,21.6,78,1686,0,50,2,43,0
2007,Rams,LAR,23.6,82,1938,0,57,3,84,0
2007,Ravens,BAL,23.5,65,1525,1,33,6,94,1
2007,Commanders,WAS,23.8,65,1544,0,45,2,80,0
2007,Saints,NO,21.3,71,1513,0,47,2,64,0
2007,Seahawks,SEA,22.1,53,1173,2,28,4,91,2
2007,Steelers,PIT,22,52,1145,1,33,1,98,1
2007,Texans,HOU,26.5,74,1961,4,47,5,104,0
2007,Titans,TEN,21.1,52,1098,0,25,3,48,0
2007,Vikings,MIN,24.8,59,1461,1,35,6,104,0
2008,Bears,CHI,24.9,77,1919,1,51,11,83,0
2008,Bengals,CIN,23.2,67,1551,0,39,6,60,0
2008,Bills,BUF,24.2,75,1816,1,43,7,98,0
2008,Broncos,DEN,21.8,71,1550,0,46,3,95,1
2008,Browns,CLE,22.6,58,1312,1,36,4,92,0
2008,Buccaneers,TB,24.8,60,1486,1,40,4,97,0
2008,Cardinals,ARI,21.7,75,1630,1,45,3,93,1
2008,Chargers,LAC,24,62,1485,1,43,6,103,0
2008,Chiefs,KC,21.4,80,1716,0,44,3,59,0
2008,Colts,IND,20.8,63,1312,0,37,1,46,0
2008,Cowboys,DAL,22.2,70,1554,1,41,4,98,0
2008,Dolphins,MIA,20.2,60,1213,0,31,2,60,0
2008,Eagles,PHI,23.5,60,1411,1,34,5,100,0
2008,Falcons,ATL,23.9,59,1408,0,37,4,92,0
2008,Giants,NYG,23.4,55,1284,0,34,3,83,0
2008,Jaguars,JAX,22.7,74,1678,0,50,3,51,0
2008,Jets,NYJ,23.1,61,1407,1,31,7,94,0
2008,Lions,DET,21.8,83,1807,0,52,2,46,0
2008,49ers,SF,23.2,76,1767,1,47,4,104,0
