Year,Team,Abbreviation,Kickoffs,Yds,Touchbacks,TB(pct),Ret,Ret_Avg,OSK,OSK_Rec,OOB,Touchdowns_Allowed
2019,Commanders,WAS,68,4231,48,70.6,17,25.8,3,0,0,0
2019,Saints,NO,95,6128,74,77.9,21,27,0,0,0,1
2019,Seahawks,SEA,85,5337,59,69.4,24,22.2,1,0,0,0
2019,Steelers,PIT,75,4735,31,41.3,44,21.5,0,0,0,0
2019,Texans,HOU,82,5164,42,51.2,39,18.6,1,1,0,0
2019,Titans,TEN,78,4814,39,50,37,23.7,2,0,0,0
2019,Vikings,MIN,88,5664,66,75,21,25.1,1,0,1,0
2020,49ers,SF,81,4871,44,54.3,32,24.8,6,0,0,1
2020,Bears,CHI,86,5252,42,48.8,41,20.4,3,0,0,0
2020,Bengals,CIN,76,4816,56,73.7,18,23.1,1,0,1,0
2020,Bills,BUF,101,6469,71,70.3,30,17.9,0,0,0,0
2020,Broncos,DEN,79,4839,54,68.4,21,29.9,5,0,0,1
2020,Browns,CLE,84,5360,45,53.6,38,26.3,0,0,1,1
2020,Buccaneers,TB,101,6514,85,84.2,14,33.6,1,0,1,0
2020,Cardinals,ARI,87,5450,39,44.8,46,19.5,2,0,1,0
2020,Chargers,LAC,84,5364,49,58.3,34,26.8,1,0,0,0
2020,Chiefs,KC,97,6222,72,74.2,23,23.9,0,0,2,1
2020,Colts,IND,97,6070,46,47.4,51,21.3,1,0,0,1
2020,Cowboys,DAL,92,5705,60,65.2,29,20.9,3,1,0,0
2020,Dolphins,MIA,92,5626,64,69.6,24,15.7,4,0,1,0
2020,Eagles,PHI,75,4626,46,61.3,26,22.4,3,0,0,0
2020,Falcons,ATL,92,5834,46,50,43,23.5,2,1,1,0
2020,Commanders,WAS,78,4808,65,83.3,9,26.1,4,0,0,0
2020,Giants,NYG,74,4407,30,40.5,41,22.2,3,0,0,1
2020,Jaguars,JAX,73,4357,42,57.5,25,18.8,4,0,2,0
2020,Jets,NYJ,63,3994,34,54,27,24.8,1,0,1,0
2020,Lions,DET,78,4765,26,33.3,49,21.4,2,0,2,0
2020,Packers,GB,98,6240,52,53.1,45,24.2,0,0,1,0
2020,Panthers,CAR,81,5095,71,87.6,7,20.6,3,0,0,0
2020,Patriots,NE,75,4756,42,56,32,21.2,1,0,0,0
2020,Raiders,LV,95,5966,61,64.2,32,23.4,2,0,0,0
2020,Rams,LAR,81,5237,54,66.7,26,28.4,0,0,1,0
2020,Ravens,BAL,95,6094,65,68.4,30,21.1,0,0,0,0
2020,Saints,NO,95,5962,71,74.7,22,17.2,2,0,1,0
2020,Seahawks,SEA,93,5818,52,55.9,38,21.4,3,0,0,0
2020,Steelers,PIT,88,5521,45,51.1,41,22.2,1,0,1,0
2020,Texans,HOU,87,5464,52,59.8,34,20.7,2,1,0,0
2020,Titans,TEN,94,5864,53,56.4,37,22.2,2,0,2,0
2020,Vikings,MIN,85,5052,53,62.4,27,24.8,5,0,0,1
2021,49ers,SF,90,5656,37,41.1,52,23.1,1,0,0,1
2021,Bears,CHI,71,4443,34,47.9,35,21.4,2,1,0,0
2021,Bengals,CIN,95,6004,56,59,37,21.7,1,0,1,0
2021,Bills,BUF,100,6269,56,56,41,18,1,0,2,0
2021,Broncos,DEN,78,4975,62,79.5,14,39.4,2,1,0,2
2021,Browns,CLE,74,4664,34,46,39,20.3,1,0,0,0
2021,Buccaneers,TB,104,6664,77,74,25,26.8,1,0,1,0
2021,Cardinals,ARI,98,6077,73,74.5,20,21,5,1,0,0
2021,Chargers,LAC,100,6286,62,62,36,20.8,2,0,0,0
2021,Chiefs,KC,101,6369,66,65.4,35,18.8,0,0,0,0
2021,Colts,IND,95,5974,47,49.5,46,21.5,2,0,0,0
2021,Cowboys,DAL,107,6877,87,81.3,18,26,1,0,1,0
2021,Dolphins,MIA,79,5027,56,70.9,21,20.7,1,0,1,0
2021,Eagles,PHI,97,6135,61,62.9,34,26.1,2,0,0,0
2021,Falcons,ATL,71,4454,35,49.3,34,23.8,1,0,1,1
2021,Commanders,WAS,79,4970,47,59.5,30,21.4,1,0,0,0
2021,Giants,NYG,69,4068,27,39.1,37,17.8,4,1,1,0
2021,Jaguars,JAX,62,3822,22,35.5,38,29.3,2,0,1,3
2021,Jets,NYJ,73,4434,48,65.8,22,17.8,4,0,1,0
2021,Lions,DET,76,4386,33,43.4,35,21.8,9,3,0,0
2021,Packers,GB,94,6031,43,45.7,50,25.7,0,0,1,0
2021,Panthers,CAR,74,4750,45,60.8,29,26.5,0,0,0,0
2021,Patriots,NE,103,6497,45,43.7,55,21.2,0,0,3,0
2021,Raiders,LV,87,5560,53,60.9,33,22.5,0,0,1,1
2021,Rams,LAR,102,6309,65,63.7,30,21.5,3,0,4,0
2021,Ravens,BAL,90,5443,47,52.2,39,18.6,3,1,1,1
2021,Saints,NO,84,5194,49,58.3,32,20.6,3,0,0,0
2021,Seahawks,SEA,83,5138,31,37.4,50,19.7,1,0,1,0
2021,Steelers,PIT,88,5565,40,45.4,46,23.9,0,0,2,0
2021,Texans,HOU,67,4127,32,47.8,32,20.4,2,1,1,0
2021,Titans,TEN,92,5873,52,56.5,40,20.4,0,0,0,0
2021,Vikings,MIN,94,6004,76,80.8,17,22.5,1,0,0,0
2022,49ers,SF,99,6223,47,47.5,51,21.5,0,0,1,0
2022,Bears,CHI,76,4819,41,54,32,25.7,2,0,1,1
